record_date,machine_id,machine_name
2026-09-27,97,Ｐ大海物語４スペシャルＳＣＡ
2026-09-27,102,ＰＡ大海物語５ＡＲＢＣ
2026-09-27,104,Ｐ新世紀エヴァンゲリオン１５ 未来への咆哮
2026-09-27,127,Ｐフィーバー戦姫絶唱シンフォギア 黄金絶唱Ｎ
2026-09-27,233,ｅぱちんこソードアート・オンラインＫ１２
2026-09-27,403,Ｐ大海物語５ＨＣＬ
2026-09-27,414,ＰＣＹＢＯＲＧ００９Ｓ３－Ｋ
2026-09-27,452,Ｐ新世紀エヴァンゲリオン１５未来への咆哮Ｙ
2026-09-27,495,ＰＡフィーバーパワフルＲ
2026-09-27,497,Ｐ北斗の拳強敵ＳＳＰＡ
2026-09-27,538,ＰバイオハザードＲＥ２Ｌ９ＹＺ４
2026-09-27,562,Ｐフィーバー炎炎ノ消防隊ＹＲ
2026-09-27,710,ＰＡわんわんセレブレーションＡＧＢＤ
2026-09-27,711,Ｐ中森明菜・歌姫伝説愛ＫＤ－ＮＳ
2026-09-27,714,Ｐとある科学の超電磁砲ＦＳＢ－Ｖ
2026-09-27,730,Ｐ弾球黙示録カイジ沼５Ｖ２Ａ
2026-09-27,764,Ｐとある魔術の禁書目録２ＪＭＺ
2026-09-27,818,ｅソードアート・オンライン~閃光の軌跡~Ｋ７
2026-09-27,845,Ｐ花の慶次~裂Ｎ２－ＶＣ
2026-09-27,866,シン・エヴァンゲリオン １２９ ＬＴ ｖｅｒ．
2026-09-27,904,ＰＡ大海物語５ＨＬＤ
2026-09-27,956,ｅ東京喰種Ｗ
2026-09-27,993,Ｐ弾球黙示録カイジ沼５Ｖ１Ｕ
2026-09-27,1005,Ｐフィーバー機動戦士ガンダムユニコーン２
2026-09-27,1009,Ｐデジハネ北斗の拳慈母ＳＳＰＣ
2026-09-27,1165,ｅ牙狼１２ＸＸ－ＭＪ
2026-09-27,1168,ｅ黄門ちゃま９ＨＣ３
2026-09-27,1188,ｅ女神のカフェテラスＪＬＺ
2026-09-27,1196,ＰＡアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ７９Ｖｅｒ
2026-09-27,1227,Ｐルパン三世１４Ｌ０ＹＵ１
2026-09-27,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ
2026-09-27,1233,eガールズ＆パンツァー3LAH1
2026-09-27,1263,ＰＳＴＥＩＮＳ；ＧＡＴＥ０Ｎ３
2026-09-27,1294,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ａ０３
