category,rank,machine_number,machine_name,total_big_hits,avg_big_hits,zero_days,daily_hits
HOT,1,0226,ＰＡ大海物語アグネスプレミアＲＢＡ,235,47.0,0,2026-09-10:50|2026-09-11:35|2026-09-12:68|2026-09-13:45|2026-09-14:37
HOT,2,0163,Ｐルパン三世１４Ｌ０ＹＵ１,217,43.4,0,2026-09-10:130|2026-09-11:12|2026-09-12:5|2026-09-13:37|2026-09-14:33
HOT,3,0440,ｅｔａｋｔ ｏｐ． ＤｅｓｔｉｎｙＨ６,180,36.0,0,2026-09-10:18|2026-09-11:93|2026-09-12:7|2026-09-13:36|2026-09-14:26
HOT,4,0165,Ｐうしおととら~月と太陽~ＦＨ－ＲＳ,166,33.2,0,2026-09-10:51|2026-09-11:32|2026-09-12:11|2026-09-13:38|2026-09-14:34
HOT,5,0167,ＰＡアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ７９Ｖｅｒ,163,32.6,0,2026-09-10:4|2026-09-11:6|2026-09-12:95|2026-09-13:22|2026-09-14:36
HOT,6,0195,ｅＡフィーバー炎炎ノ消防隊２Ｙ,162,32.4,0,2026-09-10:33|2026-09-11:49|2026-09-12:30|2026-09-13:26|2026-09-14:24
HOT,7,0198,Ｐ黄門ちゃま９ＡＤ２,158,31.6,0,2026-09-10:70|2026-09-11:41|2026-09-12:11|2026-09-13:3|2026-09-14:33
HOT,8,0262,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,146,29.2,0,2026-09-10:30|2026-09-11:39|2026-09-12:32|2026-09-13:10|2026-09-14:35
HOT,9,0166,ｅ／押忍番長漢の頂／Ａ０３,143,28.6,0,2026-09-10:10|2026-09-11:4|2026-09-12:75|2026-09-13:39|2026-09-14:15
HOT,10,0292,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,140,28.0,0,2026-09-10:8|2026-09-11:36|2026-09-12:11|2026-09-13:47|2026-09-14:38
HOT,11,0159,ＰＡ野生の王国６Ｎ２,135,27.0,0,2026-09-10:7|2026-09-11:32|2026-09-12:23|2026-09-13:35|2026-09-14:38
HOT,12,0266,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,135,27.0,0,2026-09-10:39|2026-09-11:31|2026-09-12:12|2026-09-13:39|2026-09-14:14
HOT,13,0291,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,127,25.4,0,2026-09-10:29|2026-09-11:51|2026-09-12:12|2026-09-13:17|2026-09-14:18
HOT,14,0161,Ｐ弾球黙示録カイジ沼５Ｖ２Ａ,112,22.4,0,2026-09-10:4|2026-09-11:46|2026-09-12:16|2026-09-13:23|2026-09-14:23
HOT,15,0295,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,112,22.4,0,2026-09-10:36|2026-09-11:21|2026-09-12:18|2026-09-13:24|2026-09-14:13
HOT,16,0155,Ｐ北斗の拳強敵ＳＳＰＡ,111,22.2,1,2026-09-10:9|2026-09-11:56|2026-09-12:0|2026-09-13:19|2026-09-14:27
HOT,17,0326,ｅ牙狼１２ＸＸ－ＭＪ,108,21.6,1,2026-09-10:0|2026-09-11:57|2026-09-12:1|2026-09-13:19|2026-09-14:31
HOT,18,0157,Ｐにゃんこ大戦争 らいとばーじょん,105,21.0,0,2026-09-10:1|2026-09-11:37|2026-09-12:30|2026-09-13:14|2026-09-14:23
HOT,19,0309,ｅリコリス・リコイルＭ３,105,21.0,0,2026-09-10:25|2026-09-11:9|2026-09-12:5|2026-09-13:27|2026-09-14:39
HOT,20,0219,ＰＡ大海物語５ＨＬＤ,102,20.4,1,2026-09-10:13|2026-09-11:31|2026-09-12:0|2026-09-13:41|2026-09-14:17
COLD,1,0296,ｅぱちんこソードアート・オンラインＫ１２,0,0.0,5,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:0|2026-09-14:0
COLD,2,0299,ｅぱちんこソードアート・オンラインＫ１２,0,0.0,5,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:0|2026-09-14:0
COLD,3,0301,ｅぱちんこソードアート・オンラインＫ１２,0,0.0,5,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:0|2026-09-14:0
COLD,4,0182,Ｐ閃乱カグラＬＴＮ－ＦＳ,1,0.2,4,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:1|2026-09-14:0
COLD,5,0255,ｅソードアート・オンライン~閃光の軌跡~Ｋ７,1,0.2,4,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:1|2026-09-14:0
COLD,6,0300,ｅぱちんこソードアート・オンラインＫ１２,1,0.2,4,2026-09-10:0|2026-09-11:1|2026-09-12:0|2026-09-13:0|2026-09-14:0
COLD,7,0328,ｅエデンズゼロＡＩＮ,1,0.2,4,2026-09-10:0|2026-09-11:0|2026-09-12:1|2026-09-13:0|2026-09-14:0
COLD,8,0443,ｅアクセル・ワールドＬＭ２,2,0.4,3,2026-09-10:1|2026-09-11:0|2026-09-12:0|2026-09-13:1|2026-09-14:0
COLD,9,0298,ｅぱちんこソードアート・オンラインＫ１２,4,0.8,4,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:0|2026-09-14:4
COLD,10,0256,ｅソードアート・オンライン~閃光の軌跡~Ｋ７,4,0.8,1,2026-09-10:1|2026-09-11:1|2026-09-12:0|2026-09-13:1|2026-09-14:1
COLD,11,0439,ｅギンパラＶＩＶＡＦＥＳＴＡＨＴＡ２,5,1.0,4,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:5|2026-09-14:0
COLD,12,0357,ｅ東京リベンジャーズ聖夜決戦編ＥＲＥＣ,5,1.0,2,2026-09-10:2|2026-09-11:1|2026-09-12:0|2026-09-13:0|2026-09-14:2
COLD,13,0431,eガールズ＆パンツァー3LAH1,6,1.2,4,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:6|2026-09-14:0
COLD,14,0383,ｅフィーバーキン肉マン,6,1.2,3,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:5|2026-09-14:1
COLD,15,0429,ｅフィーバーダンベル何キロ持てる２Ｆ,6,1.2,1,2026-09-10:1|2026-09-11:1|2026-09-12:0|2026-09-13:2|2026-09-14:2
COLD,16,0304,ｅぱちんこソードアート・オンラインＫ１２,7,1.4,3,2026-09-10:0|2026-09-11:1|2026-09-12:0|2026-09-13:6|2026-09-14:0
COLD,17,0349,ｅ女神のカフェテラスＪＬＺ,7,1.4,3,2026-09-10:0|2026-09-11:0|2026-09-12:2|2026-09-13:5|2026-09-14:0
COLD,18,0430,ｅメイヒテンセイＣＭＰ,7,1.4,3,2026-09-10:0|2026-09-11:1|2026-09-12:0|2026-09-13:0|2026-09-14:6
COLD,19,0253,ｅソードアート・オンライン~閃光の軌跡~Ｋ７,7,1.4,2,2026-09-10:0|2026-09-11:2|2026-09-12:0|2026-09-13:1|2026-09-14:4
COLD,20,0329,ｅエデンズゼロＡＩＮ,7,1.4,2,2026-09-10:0|2026-09-11:1|2026-09-12:1|2026-09-13:5|2026-09-14:0
COLD,21,0436,ｅバキ２ＬＢＭ４,7,1.4,2,2026-09-10:0|2026-09-11:1|2026-09-12:0|2026-09-13:3|2026-09-14:3
COLD,22,0258,ｅソードアート・オンライン~閃光の軌跡~Ｋ７,8,1.6,3,2026-09-10:7|2026-09-11:1|2026-09-12:0|2026-09-13:0|2026-09-14:0
COLD,23,0401,ｅ北斗の拳１１暴凶星ＳＨＥＦ,8,1.6,2,2026-09-10:0|2026-09-11:4|2026-09-12:2|2026-09-13:0|2026-09-14:2
COLD,24,0181,Ｐ ＦＡＩＲＹ ＴＡＩＬ 超一夜Ｖｅｒ．ＦＱＹ,8,1.6,0,2026-09-10:2|2026-09-11:1|2026-09-12:2|2026-09-13:2|2026-09-14:1
COLD,25,0435,ｅハイスクールオブザデッド３Ｖ１Ａ,9,1.8,4,2026-09-10:0|2026-09-11:0|2026-09-12:0|2026-09-13:9|2026-09-14:0
